num_pages,ratings_count,text_reviews_count,publication_year,average_rating
451,12054,2222,1984,3.489140880784535
779,73440,2362,2014,3.9091655068106523
605,72201,3578,1957,3.856471438381682
211,71620,1665,1994,3.48349669782778
251,87162,1589,1996,4.354109812822084
319,18674,2213,1989,4.5589266709048095
320,9284,1400,2003,4.259928055456653
505,19196,1752,1995,4.441815566536326
511,67828,1935,1996,3.5017642443242396
776,34116,629,1964,5.0
301,11346,1284,1968,4.7337681808186565
751,45658,966,1975,4.838690005985559
345,18481,1949,2001,4.7384614041258155
774,36555,3963,1971,5.0
769,92363,2391,1970,4.5507667006450765
798,4118,978,2000,3.42117382112923
387,11402,1326,1987,4.290631997895986
102,67606,1053,1969,4.824117807963681
266,41257,291,1978,4.68231801060299
237,55017,2854,2000,4.318247383695708
429,92838,1068,1953,3.601553489275741
542,96746,4303,2004,4.226420703894209
90,83222,2542,2020,5.0
206,24619,3838,1977,4.292111104268215
64,96909,1018,1953,4.561674496697205
114,87587,1239,1971,3.976062850353112
570,56919,1045,1994,4.021766313567943
393,81010,4595,2016,5.0
178,71424,285,2015,4.690389259691724
697,5508,2750,1983,4.602340517309918
521,59479,2299,2004,4.2063716196779115
112,25153,1249,1950,4.386380289328716
188,9546,135,2021,3.5445430823166517
548,1022,4075,1987,4.416036570880874
642,98823,4322,1955,4.34979247362064
441,51456,3878,1974,4.142618255766583
724,10889,1218,1966,4.353141966578491
468,97820,3259,2010,5.0
338,66756,928,1961,3.462113429924481
428,44128,3933,1955,4.870338492631235
539,64584,4413,1976,3.907996521913432
280,32254,1979,1957,4.049263876982006
90,82970,2803,2014,3.4590752962431637
77,2436,901,2006,3.614283859704501
184,67879,4480,1989,4.344983617547256
250,19129,2043,1963,3.2080890621260116
82,59301,1374,1984,4.278981377087919
97,32365,138,1997,5.0
552,43972,1024,2005,3.4308577046332913
456,46297,1809,1998,4.760588895292584
623,55280,4622,1962,4.0960077057270015
777,23810,1528,2010,4.429511826870585
148,29586,4191,1998,3.6685453452337513
733,72007,1208,1995,3.6793654908098143
775,71995,3883,2011,3.6812461366142015
596,64535,2484,1957,3.463968956949326
788,40731,3495,1992,3.5751441064712877
662,20203,4059,1969,4.429550837562818
511,64872,3729,1988,5.0
692,14482,312,1998,4.700730951579505
54,84391,3962,2013,4.792629085796373
267,3856,4693,2011,3.2401622534077275
552,20709,996,2003,3.6820193913106696
447,16578,1873,1958,3.7025834015097683
442,39766,4450,1986,3.6989349530130515
256,75783,4919,1998,4.409290427363072
64,99197,3082,1990,4.567569232898358
603,71415,3134,1966,4.071190071738761
510,77934,1337,1970,4.09762276013783
740,14253,2418,2000,4.728444675953098
624,76425,3683,2008,4.9610778891441765
792,13099,3301,1988,3.681149598979685
290,55418,4043,2004,5.0
613,914,713,1990,4.910204425420772
145,76177,584,1988,4.034736085021004
783,90574,3242,1962,4.162155070552157
534,2543,4793,2013,4.023995524973322
456,76093,2642,1960,5.0
280,76016,3838,1968,5.0
798,73419,3240,1960,3.5725836750070257
704,17468,498,1995,3.8728854135127238
220,15428,1357,1994,4.183956505060082
590,57042,3691,1950,4.291749009805194
85,91851,3183,1989,3.8474224443299034
574,99231,4599,1968,5.0
209,27406,1677,2021,4.491043241201874
748,85551,1647,2021,5.0
292,40015,4124,2010,4.917795815265248
135,37319,3563,1961,4.683486010662678
627,80979,1010,2010,4.283705275209236
731,64744,860,1982,4.545124579857883
606,60379,1398,1994,3.6229159099332726
623,53128,3722,2018,4.613186094398886
695,226,1377,1957,3.3596375973209702
77,52429,831,1974,4.650296082045298
669,27732,464,1995,3.5979895630197887
605,65410,1634,1979,3.562466869999351
389,55276,2782,1996,3.607214560042481
380,86166,3736,1998,3.4352282646726056
689,44427,3157,1996,4.659827690223397
555,69004,4099,1967,4.810153635592735
397,3897,4816,2015,4.04937042340115
522,47982,2200,2017,3.5628661370242845
280,13818,926,1982,3.2362650651559086
239,34660,3996,1985,3.211724460741326
274,76689,2885,1968,3.715309814852927
434,22216,1450,1977,4.8928978092359925
426,36344,4410,1989,3.664968302237444
332,1745,745,1964,3.7172760384831185
682,47623,3578,1990,3.4490347790203213
677,19356,3348,1988,3.5415956075744957
794,53273,3025,1951,4.305070097678284
308,37530,2899,2012,4.403335683295725
408,39382,971,1978,3.6878038435790588
759,63474,2999,2023,3.4331392864194847
505,68344,3858,2015,4.124114104686572
460,11794,1036,2000,3.527433407451643
698,56364,3875,1959,3.7211986536344916
367,75160,2873,1963,5.0
726,97516,2511,2000,4.72064949843697
274,57645,1957,2022,4.402258848227599
283,39324,1187,1988,4.02835914362576
733,98045,4770,1977,4.348584735085785
713,13324,21,1952,4.148494024332152
423,40838,4409,2019,4.5972458248345465
721,25250,3374,1976,4.530663508827464
657,63831,3032,1951,3.6628494986267865
521,49788,3381,1987,4.249404716196816
282,73609,2840,1952,4.192314852784412
741,8677,52,1965,4.784480622160806
162,8170,953,1989,4.303727096120289
546,8766,2400,1951,4.108880250064507
491,57861,2555,1990,3.5203722840375273
613,36468,2421,1961,4.3937909932528445
317,6883,4996,1984,3.2688558815078084
559,42014,1014,2014,3.884685012118051
435,70607,30,2004,3.6390581688983623
436,79126,416,1994,4.78015746381171
162,67626,1024,2011,3.7509591443923567
662,70935,4441,1998,4.1387345615586275
674,45865,1848,1974,5.0
130,20056,3198,1972,3.509009128104795
748,87995,724,1973,4.456007909788154
162,46340,4156,1987,4.070465968071955
51,37248,3864,1977,3.222667044295175
691,94370,4429,1970,5.0
269,4857,4894,2003,3.1624001486317623
615,19197,150,1967,4.044587276098686
785,10495,4575,1985,4.173882014285331
274,16341,4892,1994,4.33863642540086
434,27796,973,2022,4.516376807622798
452,70580,382,2002,3.8597838765905936
687,46263,3645,1979,3.2514948291016523
179,19916,2551,2009,4.546563013370938
102,49940,3620,1981,4.321253141039808
733,52953,1702,2016,4.937254825056393
779,25017,115,2016,4.767981922790498
721,96831,1691,1977,5.0
759,21666,4107,1993,4.0786234166919435
465,75552,4026,1990,4.045379789751886
296,62923,2646,2012,4.898033725810543
488,20906,2147,1972,4.007218671285928
252,75620,3426,1997,3.745347717598669
233,1859,4455,1981,4.719251970897453
172,42049,3540,2006,4.975566782692677
450,92474,1296,1982,4.39543381401
343,2582,3189,1973,3.164321860128864
329,24542,3664,1988,3.8984800946320686
659,33819,2369,1983,4.776332806112906
247,58166,454,2005,5.0
560,93601,45,1977,3.8754002015230586
193,2179,1485,1986,3.1448526933010235
658,2817,3967,1956,4.768799440858887
250,59776,1808,2017,4.0779770784702425
173,28052,1855,1986,4.223916707522955
236,86544,1418,2005,5.0
375,42560,1718,2014,3.3461339401333783
513,90497,2948,2014,4.749555817915081
398,72947,1310,1996,3.5132963272125144
709,93707,1253,1969,4.2199230827497844
452,89206,3986,1968,5.0
395,18549,3107,1978,3.9597785862671944
560,33636,4626,2023,5.0
196,64177,19,2009,4.439311915504992
197,38358,2435,1967,3.8342986005954174
760,48402,1670,1984,3.682465204660243
538,28965,2641,1992,3.8460052341712987
689,6745,4825,1960,3.778823954629928
600,38100,1082,1998,3.328110411181426
387,26837,3235,1987,3.8734623402372748
690,11585,4964,2013,3.9864577009134274
522,38665,1326,2018,4.638986274817135
200,25622,4155,1957,4.441692073222844
464,65255,3693,1983,4.744119835442293
347,55268,3283,1997,3.293332905073381
660,52587,155,2005,3.6985224593148196
312,12442,3050,2014,4.385638355787542
193,40906,1472,1980,4.172705273835471
395,48870,4686,1953,3.2552117527460447
673,78723,1594,1999,5.0
621,99885,492,2018,5.0
51,75729,3189,1979,4.47584717448168
353,52703,1259,2008,3.3966948690413337
303,82074,4778,2016,4.943794432825579
701,26499,640,1994,4.300049492887456
502,85482,671,1953,4.9917406621954825
86,81344,3513,1975,4.910604811185019
209,76634,2862,1976,4.989542340584476
58,55206,2476,1995,4.312311376242946
282,30778,997,2013,3.4346869127483366
148,76318,1556,2000,4.724271625170652
708,63330,659,1999,4.557901846209002
257,74155,978,1955,4.855637660432768
180,56473,2647,2008,3.622398342979113
453,31580,1110,1964,3.5480021294610524
201,85330,450,1979,5.0
103,68936,779,1991,4.844966807666474
169,72358,1353,1986,5.0
722,40086,4368,1991,4.718053240021628
677,24260,3739,1984,4.315727171878105
636,85695,3916,1955,4.737152205317758
674,79211,1587,2017,5.0
469,65029,4018,1967,4.483070948165457
471,73606,3361,2022,4.633166296959145
153,35011,4805,1978,3.4881766462929154
303,87227,2359,2008,4.384396532160457
276,31921,3612,1996,4.59255259194951
161,75139,1251,1966,3.917941410405953
559,60635,1135,1971,3.7079746887236373
522,84558,2611,2017,4.050849884866512
148,12275,1200,2018,3.54443523260322
202,54871,4141,1986,3.7044439079613247
387,87025,4849,1998,4.285244807132715
755,66458,4458,1962,5.0
212,17427,82,1983,4.101338023458219
769,47157,1924,2002,3.6118523327389096
730,6250,2482,2000,3.185223367589423
210,4525,3056,1952,4.414959031147086
629,16132,717,1991,3.846335036880463
447,2298,1814,1981,4.655162934170078
326,60600,3723,2000,4.622312696794673
553,53494,2574,1995,4.860209919019956
441,20179,2485,1970,3.6448840311110806
184,36320,3620,1993,4.566492348445499
244,41974,4265,1960,3.7381956381894876
450,13959,2833,2017,4.947999026485465
689,50560,1745,1950,4.525791484271105
82,31519,1595,2012,3.8067700369298003
737,8805,76,1973,3.5830910291969733
509,42980,3071,1962,3.5969596723854393
519,23336,2438,1960,4.5060740382230735
424,88055,4163,2000,3.878129296143196
71,85614,351,1966,4.619087873943384
799,15458,2784,1973,3.6066343235496254
719,99813,2827,1968,4.823482452368006
87,95014,2671,1986,5.0
279,77018,1242,1957,4.941510527929281
414,14696,3884,1977,4.595253270445804
612,33672,2411,1954,3.5439665922941774
487,78857,1504,1966,3.571433771291267
332,1379,4221,1985,4.4047992825353095
76,63297,671,1968,4.053483545141553
275,62616,3893,2013,4.178073298418482
326,7183,3629,1960,3.098247697117852
658,17871,1878,2003,3.6085937617787978
333,30075,2344,1994,3.2178723064676977
530,45748,3384,1996,4.987331346611848
502,48385,1026,1961,3.728950837609386
708,19163,4416,1970,4.2105814099339725
565,67742,217,1960,3.4169941153773538
596,90193,2675,1954,4.785093125020028
241,86243,2503,2005,4.0776840556978105
98,37699,642,1969,4.984514502999252
561,52020,2112,1990,5.0
66,28629,2969,1995,3.793863787972695
221,36054,3093,1961,4.982365016877413
269,27956,4762,2019,5.0
207,2673,1941,1966,4.664209170976917
526,78444,3729,1968,5.0
95,35467,2572,1975,3.6755228774071615
422,99708,1689,1997,4.652423856011477
567,60874,246,2001,3.4391743039116736
148,23852,4453,2019,3.3092104732589704
794,55129,4735,2004,5.0
86,17785,1550,1982,3.7422889488838527
329,51793,3953,2011,4.755581669389173
398,56061,373,1972,4.893904457430955
546,77008,2378,1964,5.0
351,74632,295,1976,5.0
230,82094,158,2013,3.893857400366394
656,56233,4047,2000,3.3621368314900595
148,97525,4561,2002,4.310476605816206
749,61368,1776,2000,3.567296189113371
165,92301,4905,1996,3.506800248855821
240,38343,1022,1953,3.9127528775372964
302,57484,2841,1956,4.855172690491281
210,31753,2517,1984,4.2912789433085665
305,26757,1533,1997,3.7594695354354424
372,40052,2795,2022,4.509136445322403
177,22280,2566,2021,3.5755434073825154
67,97532,3735,1994,3.516891495603491
784,78511,4586,2021,4.921638987799184
615,1722,1611,1968,4.25610444327062
619,48856,2418,2012,4.769119983146699
372,40909,350,1987,3.2826175852651454
735,16825,2827,2016,4.758445093265404
675,61496,2506,2008,4.546827864518475
337,51326,4940,2018,4.383667302962756
712,81282,1735,1962,4.656028624736431
688,82665,1699,1996,5.0
204,29502,3277,2010,4.321524758793663
539,4363,4416,1980,4.183736722300382
435,96623,271,1971,5.0
153,46928,1452,1992,4.748325804989154
442,48024,415,2016,4.124938347609509
295,74282,2200,2003,4.786560896286227
225,93165,4447,1959,4.244733565100425
88,59152,253,1991,3.753795127401335
526,11764,4595,2013,4.252580275236121
731,35837,4117,1970,5.0
587,89663,570,2015,5.0
457,29473,4147,1990,3.831317162553069
574,36497,2735,1973,4.238015286383172
555,86245,603,1984,3.8549111709385695
85,38809,1836,2005,5.0
734,61220,3239,1979,5.0
69,19350,3297,2006,4.395860828665375
370,21272,4083,1996,4.715290323070513
561,11655,143,1984,4.488531320325247
449,87510,3148,1968,4.624286889712504
703,78717,3929,1957,3.5006591986542848
520,53376,82,1975,4.176665136098276
192,57592,4504,2020,4.63780931157377
141,53102,4235,1979,4.620828362296517
403,89699,2988,1956,4.1951712057749395
776,72455,4371,2016,5.0
100,91348,1995,2014,3.7918929562096286
714,24862,802,1985,4.125148344705305
747,11146,4269,1974,4.437551505311768
624,97099,104,1986,4.880233134845758
239,28869,1143,1950,4.441761617893812
174,53402,4927,1964,3.8178430028165966
199,23250,247,1986,3.4287748446121933
363,68347,2956,1962,4.613944034499033
619,4953,2540,1957,4.223393029524232
391,94713,1970,1954,3.8327320798353686
354,89499,1058,2009,4.858203299148815
741,21892,2539,2022,4.019909166042585
731,59229,2974,1950,4.6319507555958
103,74578,973,1985,5.0
493,67398,546,1984,3.676770678422264
662,32087,4233,2015,3.198878901592648
313,15950,3689,2012,4.638031806359799
102,12212,4197,1972,4.280513524232202
621,24158,3734,1958,4.520185209071277
669,45520,552,1983,4.904128655935004
54,38990,855,1995,4.800759201487566
152,66117,3613,1953,5.0
245,47404,3046,1979,4.30911791555177
399,33021,2504,2021,4.142254918426794
96,1624,4495,1952,3.811902202472043
705,15148,2729,1963,3.383194865957467
318,35211,1894,2009,4.321438640972245
419,38004,4148,1994,3.7442276431426684
685,55012,4359,1983,5.0
155,34108,3211,1994,4.337085484274887
719,160,2720,2010,4.186481129754209
708,74766,1963,1965,4.084038543406807
706,83659,4747,2015,3.522675653026523
169,55437,3860,1989,3.3409388840451446
653,13450,699,1966,3.913984910343551
107,24454,1960,1983,3.2915182481867884
395,45286,466,1965,4.440341492758689
790,28245,2140,2009,4.903306717557342
523,34120,3986,2015,4.936593566413486
166,86223,4254,2015,4.749620088361839
176,75286,1189,1962,3.7992553829971114
442,85569,4295,2005,5.0
690,20681,3575,1980,4.875691234816038
107,89029,892,1983,3.8388799197457635
683,23151,409,1988,4.590718403123674
562,51574,618,2016,3.8311568909356044
145,91848,1648,1957,5.0
687,69726,2158,2004,5.0
167,7060,1392,1976,3.095385931222527
609,35872,1413,2002,4.974264082638879
650,21620,829,1988,4.353464942918008
537,49581,3302,2014,5.0
286,36508,829,1966,4.112734441843374
321,94106,429,1979,5.0
238,57234,4229,2002,3.411233124384254
753,20591,4527,1962,3.7736120319310946
496,1441,3312,1970,3.1412449989489284
630,44723,1518,1968,5.0
296,90427,777,2002,5.0
125,438,2054,1968,4.707286946912184
203,71531,2149,2006,5.0
705,12354,3039,1974,3.2320363284215055
484,51960,1559,1980,4.031244832688422
135,11444,1774,2004,3.1993447620726294
746,1850,2655,1972,3.430845091633049
334,54856,3726,1981,3.7332751158946915
269,68057,4615,2011,4.278826409603165
118,58153,4491,2023,3.8281687375338067
96,70955,2303,1959,3.557072124910346
143,15996,4847,2021,3.4150390327686124
799,55861,2718,2003,3.574124517559018
502,62652,910,2001,5.0
253,77554,3094,1969,4.906727630749183
267,90700,2019,1981,5.0
523,28035,251,1963,4.019790670325234
481,37741,2395,1999,3.745623294202956
390,29811,4278,1977,4.745784624719463
600,70442,681,2002,4.0050562825909415
661,12282,173,1973,3.660235757660536
338,87933,474,1971,3.9050994684002878
303,56376,3052,1979,3.5415088212787076
783,19641,4602,2012,3.611225489426229
406,94557,4805,1953,4.183878806685123
72,82410,2452,2008,4.760434364401647
571,44913,4808,1957,3.3499104739968786
149,37298,2365,1961,3.607683081765023
229,8920,4288,1980,4.6626901377262095
272,24170,4734,1983,3.4148099746499243
708,69868,2567,1998,4.034965981706158
491,11222,555,2006,4.785481761076946
657,80659,4729,1975,3.7135331575207093
374,73643,3845,1967,3.53404249730941
565,83541,603,1987,4.387182372286864
65,41886,4849,1999,3.814470268553229
385,95034,3814,1957,4.602443330505184
307,99904,1469,1990,5.0
546,6837,3503,1955,3.308514825440656
209,36162,2611,2018,4.342381913503189
524,54337,2454,1993,4.282963589005224
713,51671,2682,2013,3.546760831155163
739,25610,4210,1978,4.376170017182244
724,19526,26,1977,3.645004650583811
429,37365,3201,1960,4.162673161431394
594,17950,402,2014,3.2543808913472048
740,66250,434,1968,4.250736420000597
476,87412,581,1958,4.050406916867191
662,89713,3641,1976,5.0
317,75010,1130,1983,3.4893678479729555
626,52475,251,1993,4.099841671873816
466,35535,3907,2017,4.094708580165502
217,96543,4105,1964,4.933191004295867
92,57232,2289,2000,4.435010127758897
605,79045,798,1962,4.730029454977728
334,82150,724,1998,4.965243270214467
446,95502,4864,2019,5.0
61,3083,2859,2005,3.6431808060650566
656,97341,785,2000,4.563218096506153
351,20762,4036,1986,4.784125910241628
302,23610,2257,1966,5.0
548,78287,88,2007,5.0
84,41098,3936,1978,3.948621985210317
776,56946,865,1982,3.675336637896622
139,94171,2158,2009,4.450092529970128
654,6740,1041,2004,4.5170152867598485
651,44647,4950,1959,4.2085876530376645
467,54720,3281,1996,4.240224635019393
164,15417,3586,1972,4.753619914873403
666,7664,4192,1970,3.7611643806840207
245,27445,3466,1962,4.856946212211376
550,94323,3516,1982,4.285677787361487
675,79373,417,1973,4.053712567858921
542,74959,2721,1960,4.283134971342383
124,80865,3098,1966,4.9296074423337215
462,74138,1678,2017,3.6230502600841707
425,52493,157,1996,3.6555556402642138
469,66181,4337,1974,5.0
778,29530,3907,2022,3.4987751349677114
326,75632,1960,1970,4.513978018309258
725,27888,375,1961,4.298202924355265
443,95605,1684,1986,4.457733269071662
506,48643,4541,1991,4.532939207915969
241,14019,4504,1966,3.529815807456864
788,69446,2556,1997,4.452888196668166
738,96222,572,1977,4.225918819910834
148,40074,3572,1990,4.523897059296814
597,16471,2499,1996,3.3648812235175996
145,45184,782,1967,4.367891925286896
713,29729,2047,2020,3.5193285470895175
712,51284,3433,1962,3.813952525973827
239,62016,2577,1962,3.747797563491497
785,74072,1583,1980,3.736391446989396
86,62287,3704,1951,4.963156168015633
418,13084,3301,1965,3.6368979988707877
744,33139,1256,1958,5.0
574,85531,3729,2022,5.0
328,83791,3849,1987,4.561878523154143
266,58706,369,2003,3.579814304908647
322,10716,2386,2005,3.8027279729859402
111,50172,3019,1994,4.846565583711163
645,24674,3003,1983,3.858270006401188
778,3530,972,1958,3.191701396887448
391,12776,3642,1957,4.177511205584755
446,10916,1837,1956,4.7448741501413325
748,32833,1623,1985,4.756175524126851
68,85780,1650,1967,3.7795584199147743
226,2150,2226,1952,4.356289558741653
661,34033,4322,1977,3.611337042246054
445,25051,387,2019,3.561790429450277
494,32513,4224,1993,4.910864758974239
282,34901,4295,1970,3.6740105912588072
125,55719,379,1977,3.805357401235894
314,33013,2206,2003,3.1665303961926825
504,40700,3757,2003,4.945033615976852
767,57875,661,2014,4.874842693362536
784,90916,779,1970,4.709674686324854
433,90193,2431,1962,4.9519298702863965
613,35500,790,2006,3.481767698590175
555,4594,1726,1998,3.9396392615646447
416,80788,3993,2003,4.10676692972639
193,89531,1321,1959,3.635638214269318
118,74791,3369,2002,4.346575312197945
148,97519,532,1993,5.0
445,43101,531,1996,3.2958303217016454
74,67464,4888,2002,3.9205659653604252
518,45128,2330,2023,3.6409386949610547
533,97759,945,1995,3.9655580014377345
614,37673,2240,1962,5.0
200,906,4050,1986,3.94067246144744
193,56738,4593,1973,4.216561429979573
618,29857,4951,1951,4.670579736223825
88,34736,3707,1963,3.482831301027148
158,80197,2847,1959,4.375901023702984
742,48380,4093,1984,4.102102875391383
91,24362,2471,1974,4.315748431061282
235,80535,3253,1952,5.0
447,62311,3369,1966,4.850752168369091
272,54942,695,1961,4.07070538105087
683,57079,2170,2003,4.9407753470208675
182,81570,3998,1973,3.7496586388607067
212,38297,4076,1978,3.2525963748600724
264,41944,1577,1992,3.618818269592223
782,64854,48,1974,4.00540471056292
284,34257,2554,2009,4.192611106527064
707,77229,4885,2014,4.616774336495596
637,40142,1266,1977,5.0
58,61765,3000,1965,4.3288297759875265
123,82956,2206,1996,4.41772986068003
541,27476,3478,2007,3.237998031177034
302,55654,2718,1976,3.3483605012125115
279,14299,311,2002,4.1738836249858515
568,81512,656,1991,4.284308860064915
223,51048,4768,2008,4.933846055815818
702,73881,1769,1996,3.691119138994478
217,72850,4361,1983,3.4145433402494736
219,66362,607,1986,4.230206379550195
442,46700,671,1955,3.708681488904899
683,76998,4340,1956,3.4845886922254006
243,62583,1378,1974,4.762412260754835
566,18397,2591,1982,3.3152593903693317
78,30548,3878,2004,4.369525771315992
214,26272,3547,2007,3.693585727111485
471,42974,4875,1956,3.562068574124522
388,7757,4318,2006,3.7983253152172383
697,84486,4568,1961,5.0
545,25525,292,1965,3.911934791541368
414,26785,3688,1992,4.635592989965994
391,24678,1496,1956,3.3744811618237978
549,28931,4092,2000,4.690336841572311
706,8006,4193,2022,3.5139351155403955
560,61513,470,1981,4.662646805902025
376,54128,2335,1957,4.4024631737434925
266,7387,3764,2021,4.89525992609538
350,33760,2478,1994,3.943607239666195
181,75858,1734,2008,3.5119848459584384
119,60604,1386,1953,3.3416221498340883
301,59820,2753,2016,4.953104533860945
464,34801,524,1978,4.223643480639969
494,83400,712,1978,4.967888808346388
231,17774,1663,1977,3.557806597204323
216,83660,2076,1993,4.108869444902188
140,23974,32,1953,3.180192930200985
763,43742,2470,1958,5.0
580,97920,1314,1954,4.8258062810505695
88,65260,3310,2005,5.0
175,17702,371,1999,3.619587866107344
500,88901,3737,1964,4.667859357300777
222,26031,1294,1981,4.487280005451387
702,94477,524,1977,4.107938325883531
269,29292,458,1971,4.842819206738499
687,46642,1865,1966,5.0
107,42620,4979,2008,4.9830150079736875
709,64872,3572,2020,4.80280563669617
525,58862,2530,2006,3.849522168546641
505,50206,3091,1975,3.81450330458282
410,81221,1438,1974,5.0
50,25659,3977,1959,3.1489872734216724
436,33842,932,1994,4.601472544178075
397,69769,3147,1960,4.761672538115009
239,80299,2169,2002,4.647259887472945
554,21854,2557,2021,5.0
240,4072,2989,2017,3.644138435909257
557,70931,2291,1977,4.034939523550622
418,41973,2659,2014,3.3679454698905484
458,94761,323,1998,4.359856562965758
166,10003,2623,1996,3.5721601130078127
183,3120,3093,2001,3.7023883947460634
107,41855,2266,2003,4.878619677564426
605,86056,1047,2009,5.0
734,87088,3499,2006,3.807324568097495
721,45748,2644,1996,3.9739776645162843
222,9616,3993,1980,4.905387325383896
198,2496,1788,1995,3.1361089136910656
129,84182,3905,1975,3.606035518106165
262,19229,1134,1954,3.4218193663048355
252,1691,707,2001,4.198888792853365
278,11403,2189,2003,3.3580143290075104
725,30661,1414,1982,5.0
276,71819,1053,1999,4.252869116977003
708,92208,1939,1987,4.464518944403087
581,99716,1023,1976,3.9923763283436764
490,86331,236,1964,4.373990291864983
451,7414,1838,2010,4.360932886670564
96,19723,4927,1970,4.601064035279002
282,67775,2033,1995,4.846936798027129
354,96926,4976,2018,4.640877917252366
575,65182,2462,1955,5.0
192,83724,2095,1987,5.0
464,33230,4293,2011,4.680405886668231
562,51856,1090,2011,3.3707401913429837
422,97724,2330,2023,3.5028454503842057
615,26392,3200,1995,3.556981357722144
308,86306,2640,1962,4.7589918547071095
705,69374,2573,1952,4.169598292947667
520,2569,3302,1955,3.817669861647951
61,54047,4631,1957,5.0
379,22634,3596,1993,4.904404443861371
785,63720,4441,1982,5.0
407,48974,2957,1999,3.8728614541191
457,49808,3969,1960,4.631390933614334
717,74653,2823,1977,3.916890041280322
422,68444,2593,2019,3.7237685130419167
57,49238,171,1990,3.6156914842014647
171,54402,603,1965,3.956486622252492
397,47738,3269,2017,4.098834602147727
725,78349,4165,1997,5.0
139,2819,2972,2005,3.253890731147859
697,22990,3898,2013,4.5849121528295065
747,77336,3400,2008,4.449961397885337
365,36609,4511,2011,3.759111577408359
227,42634,673,1960,4.1990140089119015
589,92341,1142,1967,4.062032802270252
781,18887,551,1968,4.286689655191538
90,48945,2984,2004,4.112648007465774
789,58032,877,1975,3.6192498794261754
753,92224,2076,1955,3.6947292496879465
551,91759,441,1953,4.552627230576035
194,33162,4845,1978,4.9707953971295415
250,75813,4288,2008,4.06734462519737
773,87363,1216,1966,4.903234959800788
510,95856,2538,1992,4.797063260808425
781,60561,1179,2015,5.0
607,75518,840,1983,5.0
596,66772,1661,1957,4.467391331391964
302,34932,1146,1962,4.488888831189547
439,32066,2820,1957,4.957256997870184
643,72645,485,2014,4.162611600243697
305,13087,2820,1992,3.719087289678399
758,37411,1336,1988,3.2088569126259343
499,31675,1029,2008,4.811629334481584
59,63952,1846,1993,4.92202866538072
291,1107,4266,1958,3.21444935490626
300,71081,2458,1986,4.50946127892139
54,76342,4303,2023,4.310040190055748
168,47617,1293,1985,3.475731972248204
423,29357,669,1977,5.0
114,87372,2020,1991,3.8666715635237643
195,42307,408,1992,3.3462066289191106
273,13381,1743,1991,4.256664049522717
